site,cluster,epsg,pixel_m,ncol,nrow,xmin,ymin,xmax,ymax,n_bands_refl,n_bands_chm,n_field_features,n_aoi_features
bokspits_1,bokspits,32734,0.05679,9151,8221,470044.2,7026870.6,470563.9,7027337.4,5,6,136,1
bokspits_2,bokspits,32734,0.05366,16340,15836,469761.5,7029346.4,470638.4,7030196.1,5,6,180,1
bokspits_3,bokspits,32734,0.05313,9796,16161,468853.8,7026131.1,469374.3,7026989.8,5,6,222,1
struizendam_1,struizendam,32734,0.05323,16158,15982,463830.1,7048218.4,464690.2,7049069.1,5,6,136,1
struizendam_2,struizendam,32734,0.05264,15191,14752,464346.8,7047822.7,465146.5,7048599.2,5,6,146,1
struizendam_3,struizendam,32734,0.05143,16814,13706,466162.5,7046695.2,467027.3,7047400.1,5,6,154,1
struizendam_4,struizendam,32734,0.05883,9314,9267,463851.1,7049741.4,464399.0,7050286.6,5,6,82,1
